label,teamlabel,bpLabel,height,number
Ivelin Popov,Feyenoord,Bulgaria,1.82,71
Andrei Aleksandrovich Ovchinnikov,FC Metallurg Lipetsk,Russian SFSR,1.78,10
Strahil Popov,PFC Lokomotiv Mezdra,Bulgaria,1.85,90
Adán Vergara,Ñublense,Chile,1.88,3
Omar Gaber,Egypt national under-20 football team,Egypt,1.74,4
Abdul Diallo,Ankaragücü,Burkina Faso,1.49,31
Davi José Silva do Nascimento,Beijing Guoan,Brazil,1.83,9
Rumen Popov,PFC Montana,Bulgaria,1.82,83
Csaba Horváth (footballer),1. FC Slovácko,Dunajská Streda,1.9,TBA
Apostol Popov,FC Spartak Plovdiv,Bulgaria,1.84,18
Boris Kabi,Kuwait SC,Abidjan,1.83,90
Raman Stsyapanaw,FC Naftan Novopolotsk,Minsk Oblast,1.85,34
Davi Rodrigues de Jesus,Albirex Niigata,Brazil,1.75,30
Jan Frederiksen,Feyenoord,Copenhagen,1.81,—
Ryan Flynn (footballer),Oldham Athletic A.F.C.,Edinburgh,1.7526,7
Elkin Soto,Colombia national football team,Colombia,1.78,16
Chris Eagles,Charlton Athletic F.C.,Hertfordshire,1.8288,33
Benito Raman,Beerschot AC,Ghent,1.72,8
Alejandro Bernal,Colombia national under-20 football team,Colombia,1.83,20
Steve Cook (footballer),Havant & Waterlooville F.C.,Hastings,1.8542,3
Collin Quaner,1. FC Union Berlin,Germany,1.91,21
Brad Smith (Scottish footballer),Dundee United F.C.,Dundee,1.8288,27
Collin van Eijk,Roda JC,Netherlands,1.91,23
Ilie Iordache,AFC Săgeata Năvodari,Romania,1.78,30
Silviu Ilie,FC Dunărea Călărași,Romania,1.83,14
Ilie Cebanu,FC St. Veit,Moldova,1.89,1
Toto Tamuz,Hapoel Petah Tikva F.C.,Nigeria,1.78,14
Adrián Horváth,Pécsi MFC,Hungary,1.83,17
Leonel Olmedo,San Luis F.C.,Mexico City,1.78,18
Alessio Romagnoli,A.S. Roma,Italy,1.88,13
Florin Ilie,Unirea Alba Iulia,Romania,1.88,5
Collin Abranches,Mumbai F.C.,India,1.7,5
Adam Maher,AZ (football club),Morocco,1.74,93
Almamy Touré,AS Monaco FC,Mali,1.82,38
Antonio Candreva,S.S. Lazio,Rome,1.8,87
Goran Popov,Macedonia national under-19 football team,Strumica,1.89,3
Michael O'Halloran (footballer),Bolton Wanderers F.C,Scotland,1.8034,29
Amadou Touré,FC Wiltz 71,Bujumbura,1.77,18
Larsen Touré,FC Gueugnon,"Brest, France",1.83,39
Robert Popov,FK Belasica,Strumica,1.85,25
Zargo Touré,US Boulogne,Senegal,1.85,5
Andrew Crofts (footballer),Charlton Athletic F.C.,"Chatham, Kent",1.7526,8
Anthony Stewart (footballer),Wycombe Wanderers F.C.,Brixton,1.85,5
Alejandro Guerra,Deportivo Anzoátegui,Caracas,1.69,18
Andony Hernández,Tecos UAG,Guadalajara,1.74,18
Ibrahima Touré,Persepolis F.C.,Dakar,1.88,30
Yaya Touré,K.S.K. Beveren,Ivory Coast,1.89,42
Thomas Touré,France national under-18 football team,Grasse,1.75,10
Antonio Nocerino,West Ham United F.C.,Naples,1.75,22
Joel Soto,Ñublense,Valparaíso,1.73,—
Aleksandr Prudnikov,FC Orenburg,Smolensk,1.85,18
Abel Hernández,Central Español,Uruguay,1.85,9
Antonio Floro Flores,Granada CF,Naples,1.83,83
Francisco Flores (Venezuelan footballer),Deportivo Anzoátegui,Venezuela,1.78,5
Akeem Agbetu,TKİ Tavşanlı Linyitspor,Lagos,1.7,24
André Moritz,Crystal Palace F.C.,Florianópolis,1.87,10
Lucas Mario Horvat,Argentinos Juniors,Buenos Aires,1.78,23
Alberto Soto,Santos Laguna,Coahuila,1.73,35
Aurélien Collin,Amiens SC,Enghien-les-Bains,1.88,78
Germán Carty,Peru national football team,San Vicente de Cañete,1.8,11
Sven Bender,Borussia Dortmund,Rosenheim,1.86,6
Alessio Cerci,A.S. Roma,Velletri,1.78,17
Anthony Martial,Manchester United F.C.,"Massy, Essonne",1.84,11
Cem Atan,TSV Hartberg,Wiener Neustadt,1.84,12
Nicolás Olmedo,Godoy Cruz Antonio Tomba,"Godoy Cruz, Mendoza",1.83,5
Kenza Dali,France women's national under-19 football team,France,1.65,2
Annica Svensson,Sweden women's national under-17 football team,"Björneborg, Sweden",1.66,21
Alejandro Castillo,Tiburones Rojos de Veracruz,Mexico,1.93,7
"Alan Smith (footballer, born 1980)",Newcastle United F.C.,"Rothwell, West Yorkshire",1.78,4
Yahya Kabi,Al-Fateh SC,Saudi Arabia,1.74,23
"Alex Smith (footballer, born 1985)",Wellington Phoenix,"Windsor, Berkshire",1.82,10
Ali Sanad,Al-Arabi SC (Qatar),Qatar,1.74,21
Juli (footballer),AD Alcorcón,"Alcoy, Spain",1.7,10
"Brad Smith (footballer, born 1994)",Liverpool F.C. Reserves and Academy,"Penrith, New South Wales",1.78,14
Kolo Touré,Arsenal F.C.,Bouaké,1.78,2
Darley Ramon Torres,Feyenoord,Brazil,1.87,1
Bruno Giglio de Oliveira,Red Bull Brasil,Brazil,1.88,50
Danijel Miškić,NK Lokomotiva Zagreb,Slovenia,1.83,88
Danijel Dežmar,NK Primorje,Novo mesto,1.85,17
Connor Pain,Australia national soccer team,Hong Kong,1.75,11
Christian Esposito,North Eastern MetroStars SC,Adelaide,1.81,23
"Chris Martin (footballer, born 1988)",Crystal Palace F.C.,Suffolk,1.8542,25
Daniel Engelbrecht,Stuttgarter Kickers,Cologne,1.86,9
Craig Cathcart,Manchester United F.C.,Belfast,1.88,15
Chad Becker,Kansas City Wizards,United States,1.8796,22
Bibi Medoua,Ataşehir Belediyespor,Cameroon,1.64,41
Daniel Viteri,LDU Quito,Ecuador,1.86,25
Chris Humphrey,Shrewsbury Town F.C.,Saint Catherine Parish,1.8034,7
Danijel Stojković,FK BSK Borča,Belgrade,1.85,5
Danijel Zagorac,NK Lokomotiva Zagreb,Drniš,1.86,12
Dani Hernández,CU Collado Villalba,Caracas,1.96,25
Björn Schlicke,FSV Erlangen-Bruck,West Germany,1.94,3
Cyrille Merville,US Créteil-Lusitanos,Amiens,1.8,16
Danijel Milićević,AC Bellinzona,Switzerland,1.71,77
Danijel Mićić,FC Kärnten,Brčko,1.85,19
Antonio Rukavina,FK Bežanija,Belgrade,1.77,22
Charlie Mulgrew,Scotland national football team,Glasgow,1.91,14
Axel Bellinghausen,1. FC Kaiserslautern II,West Germany,1.82,11
Antonio Ríos,Deportivo Toluca F.C.,Arcelia,1.75,15
Danijel Majkić,Al-Ahly SC (Benghazi),Banja Luka,1.84,6
Danijel Subotić,FC Basel,Zagreb,1.96,31
Daniel Davari,1. FSV Mainz 05 II,West Germany,1.92,34
Chris Klute,United States men's national under-20 soccer team,"Grand Prairie, Texas",1.86,37
Danijel Prskalo,SC Weiz,Mostar,1.9,20
Danijel Pranjić,Celta de Vigo,Našice,1.71,55
Danijel Marčeta,FC Koper,Kranj,1.75,11
Ben Williamson (footballer),Cambridge United F.C.,Lambeth,1.8,10
Danijel Aleksić,Serbia national under-17 football team,Pula,1.82,23
Danijel Zlatković,FK Spartak Subotica,Paraćin,1.75,13
Danijel Subašić,AS Monaco FC,Zadar,1.91,1
Danijel Stojanović,C.D. Nacional,Našice,1.86,20
Danijel Radiček,NK Slaven Belupo,Koprivnica,1.77,22
Augusto Fernández,Celta de Vigo,Pergamino,1.77,12
Danijel Ćulum,FK Radnik Bijeljina,Zvornik,1.85,10
Brian Behrendt,SV Horn,Bremervörde,1.87,3
Ben Sahar,Hapoel Be'er Sheva F.C.,Israel,1.8034,14
Camilo Sanvezzo,SC Corinthians Alagoano,"Presidente Prudente, São Paulo",1.69,7
Antonio Sanabria,A.S. Roma,"San Lorenzo, Paraguay",1.81,9
Danijel Krivić,NK Međimurje,Livno,1.8,3
Christoph Moritz,1. FSV Mainz 05 II,Düren,1.86,18
Danijel Morariju,FK Kolubara,Grebenac,1.8,13
Danny Hollands,Torquay United F.C.,"Ashford, Surrey",1.8034,29
Danijel Gašić,FK Sloga Kraljevo,Socialist Federal Republic of Yugoslavia,1.96,5
Danijel Rašić,NK Imotski,Socialist Federal Republic of Yugoslavia,1.79,21
Chris Konopka,Bohemian FC,"Toms River, New Jersey",1.9558,1
"Billy Jones (footballer, born 1987)",Sunderland A.F.C.,Shrewsbury,1.83,2
Joselito Vaca,Dallas Burn,Bolivia,1.65,10
João Pedro (Brazilian footballer),C.A. Peñarol,Brazil,1.84,10
"Georgi Ivanov (footballer, born 1980)",PFC Montana,Bulgaria,1.88,3
Edinho Campos,Boavista Sport Club,Brazil,1.83,33
Elvira Todua,Russia women's national football team,Abkhaz ASSR,1.81,1
Joel Sánchez (Peruvian footballer),Peru national football team,Arequipa,1.67,10
James Moga,Sporting Clube de Goa,Nimule,1.91,10
Eduardo Carvalho,Chelsea F.C.,Mirandela,1.87,37
Eduardo Martini,Grêmio Foot-Ball Porto Alegrense,Brazil,1.92,1
Edinho (Portuguese footballer),Almada A.C.,"Aveiro, Portugal",1.82,36
Jairo Luis Blumer,Mirassol Futebol Clube,Brazil,1.73,5
Josip Tadić,Melbourne Heart,Croatia,1.87,17
Emilio Hernández,Coquimbo Unido,Chile,1.74,--
"Ján Mucha (footballer, born 1978)",1. FC Tatran Prešov,Czechoslovakia,1.87,1
Fernando Uribe,Cortuluá,Colombia,1.82,20
James McClean,Northern Ireland national under-21 football team,Derry,1.8,14
Darren Fletcher,Scotland national under-20 football team,Edinburgh,1.83,24
Jefferson Duque,Deportivo Pereira,Colombia,1.83,10
